
[D1] :: 2000-2004.00 -> 2001-2005.01 -> 2002-2006.00 -> 2003-2007.00 -> 2004-2008.00 (132)
    <2000-2004.00 150> poverty, charter, income, afdc, schooling, family, school, earnings, college, consumption
    <2001-2005.01 101> income, afdc, family, poverty, wage, work family, financing, relative deprivation, child support, college
    <2002-2006.00 111> income, afdc, schooling, earnings, unemployment, wage, marriage, college, ssi, child
    <2003-2007.00 136> teacher, income, program, abortion, afdc, crime, unemployment, wage, divorce, earnings
    <2004-2008.00 089> income, earnings, divorce, noncognitive, wage, child support, schooling, college, marriage, health

[D2] :: 2000-2004.04 -> 2001-2005.03 -> 2002-2006.06 -> 2003-2007.05 -> 2004-2008.06 -> 2005-2009.08 -> 2006-2010.13 -> 2007-2011.07 -> 2008-2012.11 -> 2009-2013.08 -> 2010-2014.07 -> 2011-2015.08 -> 2012-2016.11 -> 2013-2017.11 -> 2014-2018.16 -> 2015-2019.05 -> 2016-2020.11 -> 2017-2021.01 (218)
    <2000-2004.04 072> patent, iprs, dutch, patenting, swedish, uspto, innovative performance, licensing, basic research, canon
    <2001-2005.03 046> patent, export, software, patenting, exporting, citation, canon, radical, market information, genetic
    <2002-2006.06 041> patent, chalmers, software, university, embedded software, science, canon, citation, research, patenting
    <2003-2007.05 089> patent, nano, nanotechnology, chalmers, genetic, software, inventor, licensing, funding, tto
    <2004-2008.06 041> patent, licensing, inventor, basic research, infringement, faculty, research, citation, patenting, license
    <2005-2009.08 049> patent, examiner, licensing, inventor, keywords, epo, faculty, infringement, patenting, citation
    <2006-2010.13 079> spin offs, patent, examiner, university, licensing, center, mae, inventor, industry involvement, faculty
    <2007-2011.07 064> patent, examiner, licensing, patenting, inventive, inventor, cdma, faculty, infringement, epo
    <2008-2012.11 058> patent, examiner, patenting, qualcomm, cdma, faculty, citation, diffusion, business method, sipo
    <2009-2013.08 066> patent, university, patenting, usos, grace, opposition, convergence, cdma, sipo, uspto
    <2010-2014.07 087> nanotechnology, patent, university, patenting, grace, opposition, licensing, cdma, sipo, convergence
    <2011-2015.08 064> patent, patenting, opposition, sipo, uspto, roadmap, patent infringement, joint patent, infringement, patent term
    <2012-2016.11 076> nanotechnology, patent, patenting, ipc, novelty, opposition, sipo, uspto, patent term, patent infringement
    <2013-2017.11 062> patent, patenting, ipc, novelty, patent portfolio, opposition, patent filing, sipo, uspto, patent term
    <2014-2018.16 048> patenting, patent, novelty, patent portfolio, patent filing, patent term, roadmap, lane, sipo, filing
    <2015-2019.05 056> licensing, patent, npes, litigation, novelty, patent portfolio, patent filing, patent litigation, licensee, lane
    <2016-2020.11 060> patent, licensing, npes, main path, technology transfer, litigation, novelty, patent portfolio, opposition, epo
    <2017-2021.01 087> trm, patent, thicket, delphi, licensing, npes, ebay, ipc, financial development, patent portfolio

[D3] :: 2000-2004.07 -> 2001-2005.04 -> 2002-2006.07 -> 2003-2007.11 -> 2004-2008.09 -> 2005-2009.11 -> 2006-2010.10 -> 2007-2011.10 -> 2008-2012.10 -> 2009-2013.10 -> 2010-2014.05 -> 2011-2015.06 -> 2012-2016.13 -> 2013-2017.10 -> 2014-2018.09 -> 2015-2019.09 -> 2016-2020.05 -> 2017-2021.02 (343)
    <2000-2004.07 081> logistics, agile, agility, scm, contract logistics, supply chain, chain, learning, supply, per cent
    <2001-2005.04 052> logistics, agile, scm, supply chain, chain, agility, risk management, supply, ericsson, risk
    <2002-2006.07 055> logistics, scm, reverse logistics, supply chain, olympic, chain, spare, risk management, student, demand chain
    <2003-2007.11 093> logistics, scm, flexibility, agent, reverse logistics, volume flexibility, risk, risk management, supply chain, olympic
    <2004-2008.09 063> logistics, scm, flexibility, reverse logistics, logistics performance, supply network, chain, supply chain, olympic, manufacturing flexibility
    <2005-2009.11 088> scm, logistics, flexibility, reverse logistics, sci, logistics performance, mix flexibility, environmental, supply network, transport
    <2006-2010.10 105> rfid, scm, logistics, outsourcing, agility, reverse logistics, edi, sci, logistics performance, supply chain
    <2007-2011.10 097> scm, crisis, reverse logistics, ict, edi, sci, supplier, supply chain, agility, interfirm
    <2008-2012.10 129> rfid, scm, jit, tqm, crisis, lean, sscm, edi, ict, mixed
    <2009-2013.10 130> erp, rfid, scm, lean, crisis, stockouts, auction, resilience, green, ict
    <2010-2014.05 163> erp, rfid, scm, lean, green, ebay, stockouts, sci, auction, ict
    <2011-2015.06 114> sscm, scm, green, rfid, sci, ict, sustainability, mixed, gscm, environmental management
    <2012-2016.13 078> scf, scm, green, healthcare, supply, cyber, cloud, green innovation, supply chain, sustainability
    <2013-2017.10 124> scf, scm, resilience, green, sci, disaster, scrm, agility, healthcare, emergency
    <2014-2018.09 157> gscm, scrm, vmi, scf, scm, cloud, eco, resilience, disaster, logistics
    <2015-2019.09 072> sscm, gscm, scrm, blockchain, scm, agility, bitcoin, supply, kmc, pricing
    <2016-2020.05 051> resilience, disaster, compassion, reconstruction, resilience management, community resilience, swb, job satisfaction, disaster recovery, compassionate
    <2017-2021.02 035> resilience, disaster, reconstruction, eoc, resilience management, community resilience, disaster recovery, efficacy, recovery, adversity

[D4] :: 2000-2004.08 -> 2001-2005.06 -> 2002-2006.09 -> 2003-2007.10 -> 2004-2008.08 -> 2005-2009.12 -> 2006-2010.11 -> 2007-2011.11 -> 2008-2012.10 -> 2009-2013.10 -> 2010-2014.05 -> 2011-2015.06 -> 2012-2016.13 -> 2013-2017.10 -> 2014-2018.09 -> 2015-2019.09 (125)
    <2000-2004.08 051> leadership, project, project management, risk management, risk, project success, project manager, learning, project owner, project group
    <2001-2005.06 052> project, project management, project marketing, risk management, risk, project success, team, termination, owner, project manager
    <2002-2006.09 049> project, project marketing, project management, decoding, project success, team, apm, project manager, project group, learning
    <2003-2007.10 082> pmo, project, project marketing, project management, pmbok, overload, uncertainty, decoding, leadership, project success
    <2004-2008.08 101> hrm, pmo, project, project management, project marketing, pmbok, risk, risk management, pmos, success
    <2005-2009.12 138> hrm, project, pmo, stakeholder, project management, project strategy, multiple project, risk, pmbok, success
    <2006-2010.11 146> hrm, pmo, leadership, project, stakeholder, project management, project based, project strategy, multiple project, pmbok
    <2007-2011.11 161> ihrm, hrm, pmo, leadership, programme, project, programme management, distributed leadership, stakeholder, project management
    <2008-2012.10 129> rfid, scm, jit, tqm, crisis, lean, sscm, edi, ict, mixed
    <2009-2013.10 130> erp, rfid, scm, lean, crisis, stockouts, auction, resilience, green, ict
    <2010-2014.05 163> erp, rfid, scm, lean, green, ebay, stockouts, sci, auction, ict
    <2011-2015.06 114> sscm, scm, green, rfid, sci, ict, sustainability, mixed, gscm, environmental management
    <2012-2016.13 078> scf, scm, green, healthcare, supply, cyber, cloud, green innovation, supply chain, sustainability
    <2013-2017.10 124> scf, scm, resilience, green, sci, disaster, scrm, agility, healthcare, emergency
    <2014-2018.09 157> gscm, scrm, vmi, scf, scm, cloud, eco, resilience, disaster, logistics
    <2015-2019.09 072> sscm, gscm, scrm, blockchain, scm, agility, bitcoin, supply, kmc, pricing

[D5] :: 2000-2004.09 -> 2001-2005.05 -> 2002-2006.08 -> 2003-2007.09 -> 2004-2008.07 -> 2005-2009.10 -> 2006-2010.12 -> 2007-2011.12 -> 2008-2012.13 -> 2009-2013.13 -> 2010-2014.10 -> 2011-2015.15 -> 2012-2016.15 -> 2013-2017.08 -> 2014-2018.12 -> 2015-2019.18 -> 2016-2020.17 -> 2017-2021.11 (362)
    <2000-2004.09 075> learning, knowledge, technological learning, tacit, knowledge management, tacit knowledge, organizational learning, organisational, organisational learning, methodology
